method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1200,600,0.1,0,0,5,0.371,0.185
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,200,600,0.1,0,0,10,0.116,0.073
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,400,600,0.1,0,0,9,0.196,0.102
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,600,600,0.1,0,0,6,0.241,0.121
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,800,600,0.1,0,0,4,0.226,0.116
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1000,600,0.1,0,0,7,0.361,0.189
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1200,600,0.1,0,0,4,0.349,0.158
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,200,600,0.1,0,0,20,0.140,0.083
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,400,600,0.1,0,0,16,0.234,0.128
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,600,600,0.1,0,0,9,0.324,0.172
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,800,600,0.1,0,0,10,0.414,0.202
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1000,600,0.1,0,0,10,0.499,0.219
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1200,600,0.1,0,0,9,0.606,0.311
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,200,600,0.1,0,0,20,0.317,0.189
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,400,600,0.1,0,0,16,0.449,0.229
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,600,600,0.1,0,0,14,0.539,0.262
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,800,600,0.1,0,0,11,0.538,0.252
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1000,600,0.1,0,0,10,0.630,0.282
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1200,600,0.1,0,0,10,0.640,0.290
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,200,600,0.1,0,0,7,0.351,0.155
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,400,600,0.1,0,0,8,0.693,0.245
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,600,600,0.1,0,0,4,0.744,0.247
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,800,600,0.1,0,0,6,0.986,0.316
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1000,600,0.1,0,0,4,0.993,0.273
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1200,600,0.1,0,0,4,1.275,0.337
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,200,600,0.1,0,0,2,0.258,0.090
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,400,600,0.1,0,0,3,0.478,0.153
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,600,600,0.1,0,0,4,0.731,0.202
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,800,600,0.1,0,0,4,0.903,0.242
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1000,600,0.1,0,0,3,0.970,0.236
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1200,600,0.1,0,0,3,0.855,0.274
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,200,600,0.1,0,0,1,0.145,0.065
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,400,600,0.1,0,0,1,0.216,0.090
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,600,600,0.1,0,0,1,0.289,0.114
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,800,600,0.1,0,0,1,0.369,0.132
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1000,600,0.1,0,0,1,0.444,0.135
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1200,600,0.1,0,0,1,0.508,0.164
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,200,600,0.1,0,0,9,0.267,0.122
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,400,600,0.1,0,0,8,0.517,0.205
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,600,600,0.1,0,0,3,0.460,0.178
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,800,600,0.1,0,0,3,0.639,0.218
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1000,600,0.1,0,0,4,0.709,0.234
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1200,600,0.1,0,0,4,0.836,0.269
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,200,600,0.1,0,0,1,0.165,0.078
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,400,600,0.1,0,0,1,0.356,0.137
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,600,600,0.1,0,0,3,0.466,0.177
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,800,600,0.1,0,0,2,0.634,0.220
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1000,600,0.1,0,0,3,0.739,0.250
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1200,600,0.1,0,0,4,0.900,0.308
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,200,600,0.1,0,0,1,0.375,0.358
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,400,600,0.1,0,0,1,0.304,0.260
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,600,600,0.1,0,0,1,0.434,0.369
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,800,600,0.1,0,0,1,0.391,0.299
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1000,600,0.1,0,0,1,0.503,0.402
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1200,600,0.1,0,0,1,0.330,0.222
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,200,600,0.1,0,0,0,0.032,0.019
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,400,600,0.1,0,0,0,0.055,0.033
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,600,600,0.1,0,0,0,0.077,0.044
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,800,600,0.1,0,0,0,0.110,0.055
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1000,600,0.1,0,0,0,0.130,0.071
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1200,600,0.1,0,0,0,0.135,0.068
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,200,600,0.1,0,0,16,0.321,0.217
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,400,600,0.1,0,0,10,0.317,0.157
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,600,600,0.1,0,0,8,0.462,0.240
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,800,600,0.1,0,0,10,0.475,0.226
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1000,600,0.1,0,0,10,0.543,0.251
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1200,600,0.1,0,0,10,0.565,0.229
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,200,600,0.1,0,0,23,0.321,0.199
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,400,600,0.1,0,0,17,0.410,0.215
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,600,600,0.1,0,0,14,0.490,0.245
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,800,600,0.1,0,0,11,0.491,0.230
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1000,600,0.1,0,0,9,0.541,0.267
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1200,600,0.1,0,0,10,0.614,0.261
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,200,600,0.1,0,0,27,0.289,0.168
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,400,600,0.1,0,0,18,0.384,0.188
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,600,600,0.1,0,0,17,0.497,0.243
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,800,600,0.1,0,0,19,0.578,0.270
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1000,600,0.1,0,0,17,0.617,0.292
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1200,600,0.1,0,0,16,0.709,0.319
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,200,600,0.1,0,0,21,0.252,0.146
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,400,600,0.1,0,0,13,0.300,0.145
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,600,600,0.1,0,0,8,0.305,0.144
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,800,600,0.1,0,0,10,0.363,0.182
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1000,600,0.1,0,0,10,0.487,0.210
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1200,600,0.1,0,0,8,0.534,0.227
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,200,600,0.1,0,0,29,0.272,0.161
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,400,600,0.1,0,0,26,0.486,0.236
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,600,600,0.1,0,0,25,0.685,0.299
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,800,600,0.1,0,0,23,0.824,0.358
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1000,600,0.1,0,0,21,0.829,0.364
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1200,600,0.1,0,0,21,0.967,0.393
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,200,600,0.1,0,0,96,1.779,0.698
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,400,600,0.1,0,0,58,2.363,0.835
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,600,600,0.1,0,0,48,2.849,0.891
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,800,600,0.1,0,0,39,3.157,1.005
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1000,600,0.1,0,0,39,3.193,1.047
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1200,600,0.1,0,0,35,3.684,1.269
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,200,600,0.1,0,0,22,0.523,0.221
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,400,600,0.1,0,0,15,0.793,0.284
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,600,600,0.1,0,0,15,1.097,0.368
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,800,600,0.1,0,0,13,1.678,0.416
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1000,600,0.1,0,0,13,1.620,0.411
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1200,600,0.1,0,0,11,1.407,0.408
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,200,600,0.1,0,0,11,0.255,0.123
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,400,600,0.1,0,0,6,0.336,0.135
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,600,600,0.1,0,0,9,0.437,0.182
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,800,600,0.1,0,0,10,0.652,0.213
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1000,600,0.1,0,0,10,0.724,0.244
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1200,600,0.1,0,0,9,0.766,0.245
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,200,600,0.1,0,0,37,0.803,0.326
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,400,600,0.1,0,0,24,1.047,0.388
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,600,600,0.1,0,0,22,1.378,0.478
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,800,600,0.1,0,0,19,1.619,0.518
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1000,600,0.1,0,0,19,1.820,0.561
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1200,600,0.1,0,0,19,2.015,0.637
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,200,600,0.1,0,0,25,0.605,0.243
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,400,600,0.1,0,0,17,0.893,0.307
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,600,600,0.1,0,0,14,1.194,0.377
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,800,600,0.1,0,0,15,1.343,0.410
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1000,600,0.1,0,0,14,1.417,0.449
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1200,600,0.1,0,0,14,1.653,0.502
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,200,600,0.1,0,0,1,0.422,0.408
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,400,600,0.1,0,0,1,0.366,0.330
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,600,600,0.1,0,0,1,0.425,0.370
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,800,600,0.1,0,0,1,0.373,0.288
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1000,600,0.1,0,0,1,0.422,0.329
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1200,600,0.1,0,0,1,0.269,0.168
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.1,0,0,0,0.039,0.026
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.1,0,0,0,0.047,0.025
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.1,0,0,0,0.071,0.038
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.1,0,0,0,0.096,0.039
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.1,0,0,0,0.117,0.061
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.1,0,0,0,0.113,0.060
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,200,600,0.1,0,0,1,0.044,0.023
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,400,600,0.1,0,0,1,0.079,0.036
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,600,600,0.1,0,0,1,0.112,0.043
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,800,600,0.1,0,0,1,0.139,0.058
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1000,600,0.1,0,0,1,0.173,0.059
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1200,600,0.1,0,0,1,0.203,0.050
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,200,600,0.1,0,0,12,0.121,0.083
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,400,600,0.1,0,0,1,0.085,0.039
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,600,600,0.1,0,0,1,0.115,0.052
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,800,600,0.1,0,0,1,0.139,0.063
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1000,600,0.1,0,0,1,0.177,0.078
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1200,600,0.1,0,0,1,0.215,0.094
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,200,600,0.1,0,0,1,0.046,0.025
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,400,600,0.1,0,0,1,0.079,0.040
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,600,600,0.1,0,0,1,0.105,0.054
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,800,600,0.1,0,0,1,0.154,0.073
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1000,600,0.1,0,0,1,0.207,0.091
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1200,600,0.1,0,0,1,0.230,0.096
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,200,600,0.1,0,0,1,0.044,0.028
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,400,600,0.1,0,0,1,0.077,0.041
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,600,600,0.1,0,0,1,0.118,0.057
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,800,600,0.1,0,0,1,0.139,0.066
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1000,600,0.1,0,0,1,0.175,0.081
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1200,600,0.1,0,0,1,0.213,0.094
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,200,600,0.1,0,0,11,0.141,0.088
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,400,600,0.1,0,0,10,0.274,0.129
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,600,600,0.1,0,0,9,0.370,0.169
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,800,600,0.1,0,0,9,0.422,0.192
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1000,600,0.1,0,0,9,0.481,0.210
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1200,600,0.1,0,0,8,0.508,0.220
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,200,600,0.1,0,0,6,0.170,0.078
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,400,600,0.1,0,0,1,0.189,0.073
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,600,600,0.1,0,0,1,0.238,0.086
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,800,600,0.1,0,0,1,0.357,0.111
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1000,600,0.1,0,0,1,0.460,0.144
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1200,600,0.1,0,0,1,0.402,0.109
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,200,600,0.1,0,0,9,0.192,0.081
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,400,600,0.1,0,0,8,0.325,0.122
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,600,600,0.1,0,0,9,0.505,0.173
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,800,600,0.1,0,0,5,0.474,0.154
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1000,600,0.1,0,0,1,0.350,0.098
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1200,600,0.1,0,0,1,0.390,0.113
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,200,600,0.1,0,0,1,0.064,0.024
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,400,600,0.1,0,0,1,0.121,0.044
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,600,600,0.1,0,0,1,0.170,0.058
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,800,600,0.1,0,0,1,0.238,0.073
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1000,600,0.1,0,0,1,0.288,0.092
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1200,600,0.1,0,0,1,0.347,0.096
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,200,600,0.1,0,0,1,0.084,0.036
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,400,600,0.1,0,0,1,0.178,0.069
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,600,600,0.1,0,0,1,0.233,0.089
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,800,600,0.1,0,0,1,0.281,0.090
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1000,600,0.1,0,0,1,0.372,0.113
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1200,600,0.1,0,0,1,0.406,0.118
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.1,0,0,7,0.146,0.068
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.1,0,0,1,0.180,0.067
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.1,0,0,1,0.230,0.085
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.1,0,0,1,0.262,0.084
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.1,0,0,1,0.378,0.122
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.1,0,0,1,0.399,0.120
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,200,600,0.1,0,0,1,0.584,0.565
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,400,600,0.1,0,0,1,0.518,0.473
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,600,600,0.1,0,0,1,0.834,0.764
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,800,600,0.1,0,0,1,0.579,0.487
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1000,600,0.1,0,0,1,0.795,0.691
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1200,600,0.1,0,0,1,0.411,0.304
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.1,0,0,0,0.034,0.018
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.1,0,0,0,0.059,0.028
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.1,0,0,0,0.084,0.042
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.1,0,0,0,0.122,0.056
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.1,0,0,0,0.135,0.067
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.1,0,0,0,0.124,0.065
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,200,600,0.1,0,0,1,0.054,0.029
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,400,600,0.1,0,0,1,0.102,0.050
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,600,600,0.1,0,0,1,0.139,0.065
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,800,600,0.1,0,0,1,0.174,0.076
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1000,600,0.1,0,0,1,0.245,0.102
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1200,600,0.1,0,0,1,0.267,0.109
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,200,600,0.1,0,0,10,0.227,0.175
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,400,600,0.1,0,0,1,0.140,0.056
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,600,600,0.1,0,0,1,0.160,0.065
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,800,600,0.1,0,0,1,0.194,0.090
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1000,600,0.1,0,0,1,0.221,0.096
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1200,600,0.1,0,0,1,0.232,0.106
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,200,600,0.1,0,0,1,0.050,0.031
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,400,600,0.1,0,0,1,0.094,0.051
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,600,600,0.1,0,0,1,0.118,0.064
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,800,600,0.1,0,0,1,0.186,0.088
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1000,600,0.1,0,0,1,0.225,0.097
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1200,600,0.1,0,0,1,0.260,0.113
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,200,600,0.1,0,0,10,0.169,0.121
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,400,600,0.1,0,0,1,0.116,0.051
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,600,600,0.1,0,0,1,0.162,0.070
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,800,600,0.1,0,0,1,0.213,0.095
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1000,600,0.1,0,0,1,0.249,0.106
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1200,600,0.1,0,0,1,0.274,0.120
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,200,600,0.1,0,0,12,0.223,0.147
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,400,600,0.1,0,0,11,0.407,0.215
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,600,600,0.1,0,0,10,0.503,0.254
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,800,600,0.1,0,0,10,0.611,0.290
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1000,600,0.1,0,0,10,0.784,0.372
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1200,600,0.1,0,0,9,0.759,0.321
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,200,600,0.1,0,0,1,0.108,0.043
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,400,600,0.1,0,0,1,0.189,0.071
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,600,600,0.1,0,0,1,0.270,0.093
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,800,600,0.1,0,0,1,0.329,0.118
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1000,600,0.1,0,0,1,0.425,0.129
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1200,600,0.1,0,0,1,0.504,0.164
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,200,600,0.1,0,0,1,0.080,0.034
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,400,600,0.1,0,0,1,0.166,0.062
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,600,600,0.1,0,0,1,0.248,0.082
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,800,600,0.1,0,0,1,0.306,0.105
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1000,600,0.1,0,0,1,0.391,0.125
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1200,600,0.1,0,0,1,0.444,0.139
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,200,600,0.1,0,0,1,0.087,0.037
